assetIndex	weaponName	displayName	hideTagsPointerRaw	hideTagsPointerAddress	valuesHex	resolved
418	model1887_mp	WEAPON_MODEL1887	0xFFFFFFFF	XBlockAddress { Block = LARGE, Offset = 1381114 }	0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000	0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null>
419	model1887_akimbo_mp	WEAPON_MODEL1887_AKIMBO	0x401512FB	XBlockAddress { Block = LARGE, Offset = 1381114 }	0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000	0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null>
420	model1887_fmj_mp	WEAPON_MODEL1887_FMJ	0x401512FB	XBlockAddress { Block = LARGE, Offset = 1381114 }	0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000	0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null>
421	model1887_akimbo_fmj_mp	WEAPON_MODEL1887_BLING	0x401512FB	XBlockAddress { Block = LARGE, Offset = 1381114 }	0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000	0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null>
427	airdrop_marker_mp	WEAPON_AIRDROP_MARKER	0x401512FB	XBlockAddress { Block = LARGE, Offset = 1381114 }	0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000	0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null>
428	airdrop_mega_marker_mp	WEAPON_AIRDROP_MEGA_MARKER	0x401512FB	XBlockAddress { Block = LARGE, Offset = 1381114 }	0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000	0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null>
429	airdrop_sentry_marker_mp	WEAPON_AIRDROP_SENTRY_MARKER	0x401512FB	XBlockAddress { Block = LARGE, Offset = 1381114 }	0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000 0x0000	0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null> | 0x0000=<null>

summary	weapons=7	scriptStringCount=11	maxValue=0x0000	outOfRangeValues=0
